Adam-Gilchrist,taking,five-catches,Data
Daniel-Vettori,made,rapid-83,Data
Gilchrist,was-caught-from,ball,Data
Gilchrist,was,caught-behind-off-Daryl-Tuffey-from-ball,Data
Gilchrist,was,caught-behind-Daryl-Tuffey-from-ball,Data
Gilchrist,was,caught-behind-off-Daryl-Tuffey-from-second-ball,Data
Gilchrist,was-caught-behind,off-Daryl-Tuffey,Data
Gilchrist,was,caught-behind-Daryl-Tuffey-from-second-ball,Data
Gilchrist,was,caught-behind-off-Daryl-Tuffey-from-ball-of-match,Data
Gilchrist,was,caught,Data
Gilchrist,was-caught-from,ball-of-match,Data
Gilchrist,was-caught-behind,Daryl-Tuffey,Obj
Gilchrist,was-caught-from,second-ball,Data
Gilchrist,was,caught-behind-Daryl-Tuffey-from-ball-of-match,Data
Ponting,only-added,three-more,Obj
Ponting,added,three-more,Obj
Ponting,cleared,ropes,Data
Hayden,was-into,his-stride,Data
Hayden,was-into,By-then-his-stride,Data
Australia,raised,tempo,Data
Hayden,has,century,Obj
Michael-Clarke,add,23,Obj
Craig-McMillan,of,bat,Data
Chris-Cairns,followed-for,22,Obj
Chris-Cairns,followed,caught,Data
Vettori,sharing,Brendon-McCullum,Obj
McCullum,gave,return-catch,Data
Vettori,halted,their-decline,Data
Vettori,sharing,stand,Data
Vettori,halted,Brendon-McCullum,Obj
Vettori,sharing,stand-of-62,Data
Wilson,made,22,Obj
Mills,was,last,Data
Darren-Gough,was,replaced,Data
Darren-Gough,was-replaced-by,Steve-Harmison,Obj
Ali,hits,boundary-off-Nel,Data
Ali,hits-boundary-as,fine-leg-misfields,Data
Ali,hits-boundary-as,leg-misfields,Data
Ali,hits,boundary,Data
Pietersen,clobbers,Nel-between-leg,Data
Pietersen,clobbers-Nel-for,four,Obj
Pietersen,clobbers,Nel,Obj
Pietersen,clobbers,Nel-between-square-leg,Data
Ntini,is-deposited,high-long,Data
Ntini,is,deposited,Data
Ntini,is-deposited,high,Data
Ntini,is-deposited,high-over-long,Data
Kallis,toss-for,four,Obj
Kallis,full-toss-for,four,Obj
Pietersen,drives,Ntini-wide,Data
Pietersen,drives,Ntini-wide-of-mid-off-for-four,Data
Pietersen,drives,Ntini-wide-of-mid-off,Data
Ntini,wide-of,mid-off,Data
Pietersen,drives,Ntini,Obj
Ntini,wide-for,four,Obj
Pietersen,drives,Ntini-wide-for-four,Data
Ntini,starting,his-third-spell,Data
Ntini,starting,his-spell,Data
Ntini,yorks,Giles,Obj
Giles,reaches,his-score,Data
Giles,over-reaches,his-best-score,Data
Giles,reaches,his-best-score,Data
Giles,over-reaches,his-score,Data
Pietersen,launches-Nel-over,long-on,Data
Pietersen,launches,Nel,Obj
Giles,drives,him,Data
Pietersen,drives,Nel-wide,Data
Nel,wide-of,mid-off,Data
Pietersen,drives,Nel-wide-of-mid-off,Data
Pietersen,drives,Nel,Obj
Giles,thumps,Pollock,Obj
Giles,thumps-Pollock-over,mid-on,Data
England,again-can-only-trade-in,singles,Data
England,again-can-trade-in,singles,Data
England,can-trade-in,singles,Data
England,can-only-trade-in,singles,Data
Pollock,returns-to,attack,Data
England,can-take,two-singles,Data
England,can-only-take,two-singles,Data
Boje,concedes,two-runs,Data
Boje,concedes,two-runs-off-bat,Data
Ntini,goes-for,six-runs,Data
Ntini,goes-for,six-runs-in-his-first,Data
Ntini,goes-for,six-runs-in-his-first-over-of-spell,Data
Ntini,goes-for,six-runs-in-his-first-over-of-new-spell,Data
Pietersen,garners,solitary-single,Data
Pietersen,garners-over,single-off-Boje-s-fourth,Data
Pietersen,garners-over,solitary-single,Data
Pietersen,garners,solitary-single-off-Boje-s-fourth,Data
Pietersen,garners-over,single,Data
Pietersen,garners,single,Data
Pietersen,garners-over,solitary-single-off-Boje-s-fourth,Data
Pietersen,garners,single-off-Boje-s-fourth,Data
England,have,mountain-climb,Data
Giles,batting,Pietersen,Obj
England,have,mountain,Data
Giles,batting-together,Pietersen,Obj
Collingwood,takes,three-runs,Data
Collingwood,takes,three-runs-off-Hall,Data
Pietersen,pulls,Nel-long-hop,Data
Pietersen,pulls-Nel-long-hop-for,four,Obj
Pietersen,whips-ball-for,four,Obj
Pietersen,whips-ball-from,Hall,Data
Pietersen,whips,straight-ball,Data
Pietersen,whips-ball-from,Hall-wide-of-mid-on,Data
Pietersen,whips,ball,Data
Pietersen,whips-ball-from,Hall-wide,Data
Jones,top-edges,pull-shot-off-Nel,Data
Jones,gives-catch-at,square-leg,Data
Jones,gives-catch-at,leg,Data
Jones,gives,catch,Data
Jones,top-edges,pull-shot,Data
Jones,gives-catch-to,Kemp,Obj
Jones,gives,dolly-catch,Data
Nel,allows,just-single-from-his-second,Data
Nel,allows,just-single,Data
Nel,allows,single,Data
Nel,allows,single-from-his-second,Data
Nel,strikes-in,his-first,Data
Strauss,gets,under-edge,Data
Strauss,over-gets,under-edge,Data
Strauss,gets,under-edge-trying,Data
Strauss,over-gets,under-edge-trying,Data
Strauss,plays,leg-glance,Data
Strauss,plays-leg-glance-for,four,Obj
Strauss,plays,smart-leg-glance,Data
Strauss,plays-leg-glance-off,Pollock,Obj
Strauss,has,his-first-boundary,Data
Strauss,has,his-boundary,Data
Ntini,gets-through,his-second-maiden,Data
England,has,run-rate,Data
Ntini,gets-through,his-maiden,Data
Boje,misses,golden-opportunity,Data
Boje,misses,opportunity,Data
Strauss,is-dropped-at,gully,Data
Strauss,is,dropped,Data
Strauss,is,dropped-by-Kemp-at-gully,Data
Strauss,is-dropped-by,Kemp,Obj
Jones,playing,watchful-cricket,Data
Jones,playing,cricket,Data
Ntini,bowls,maiden,Data
Ntini,bowls-maiden-at,Strauss,Obj
Jones,flicks,Ntini-high,Data
Vaughan,loses,his-stumps,Data
Vaughan,loses,his-middle-stumps,Data
